RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30
102001,0,United States,country,,1266.4583990939848,1272.966286877322,1281.6712472132326,1291.9825962628256,1301.4359905683023,1310.156944208635,1316.1394873757392,1319.5518533554346,1320.7916112735943,1320.6546671032963,1321.2101827435297,1322.5342279582087,1326.686835323443,1332.0320247889147,1338.9202143002753,1347.5001879305967,1356.5519735301712,1364.6427898115744,1369.2608296438739,1370.932500395337,1370.0727936186997,1368.3128960405024,1367.2122219208509,1367.3088588867467,1372.9414904981534,1382.7558068363257,1396.0966963132953,1407.97540687956,1418.2272819718314,1426.101988228231,1431.0098652300908,1432.5822544112707,1433.7022771509444,1433.2402184767827,1434.185301915339,1435.5469309164132,1440.6576247127807,1448.5001911070897,1459.5876553307526,1470.614068612222,1480.0736009821317,1487.4167109597015,1491.9229431760996,1494.4503821973842,1494.6321197439127,1495.0211953869964,1496.9805979081084,1499.9328099458257,1504.9880570663238,1512.4730698152061,1524.117202468878,1535.888080132274,1546.4004054776037,1553.9883574533956,1558.5556398633926,1560.6892851279183,1561.0400897029456,1561.637460907108,1562.631240867125,1564.350230673796,1569.997322689922,1579.0513855540823,1589.2652685940132,1594.9560861513767,1601.4279885940346,1610.0807627208974,1623.7201382472806,1635.6711524268353,1646.5040889803856,1655.008126241916,1662.1323637908024,1669.6921627262302,1680.9630973707635,1695.7131807196306,1712.8597059353042,1732.3802985593088,1755.9649998094403,1780.8019343806059,1804.5762040783684,1826.6651346805868,1845.1941773245023,1859.8777830152867,1871.123632885469,1882.5920708184783,1896.6027938582188,1914.8064733852705,1934.935054739453,1956.3286626524553,1974.9446549176712,1993.8986018195883,2009.0412629066204,2021.2852564451084,2026.2643984625936,2029.1254711276924,2028.1926506376687,2031.5916018504415,2036.51966873544,2046.433096765048,2059.3194004055167,2073.734993390496,2087.1264490391072,2097.847926652878,2107.8911334320283,2116.446494554067,2121.3734170616353,2121.8137717818595,2120.745695341888,2121.673914137293,2129.4795307208287,2140.65600431749,2155.935859680316,2168.8219514692023,2181.8065898307664,2192.458422020741,2202.798162261467,2210.1028148985984,2213.5638252475724,2213.8377385141234,2214.8347024119084,2216.744204612201,2223.484964151533,2233.004046329134,2245.2738984333832,2255.740601399222
394913,1,"New York, NY",msa,NY,2319.374070869002,2347.384536383732,2366.0769273423502,2381.023395291035,2380.5562560666144,2396.3579460969863,2401.7557664440487,2402.205520726519,2400.8931780309163,2401.514815818162,2404.506966302097,2410.764185882791,2419.916518714018,2432.999934785748,2444.4773776471893,2458.761537305165,2470.0537452140275,2470.8159890904694,2475.127524605573,2466.869195898736,2467.8784966520484,2462.3350215328273,2481.5356632115063,2488.4184159689466,2506.6096094521067,2517.128211112154,2535.7580155907885,2548.2122009860577,2561.195842821549,2566.3597881973883,2574.138345309299,2567.3648492733714,2595.9254609932646,2603.6180773690658,2600.48633352782,2573.989518385224,2575.361100182826,2589.8209552282938,2603.8154099062535,2617.589500932033,2634.8710000084634,2645.1354010737155,2650.164002747057,2657.924935438898,2659.590393865508,2653.7329858970415,2653.0643274710756,2653.6680597758323,2660.908776851885,2676.5752692717883,2705.7258272673675,2726.783620335386,2740.272760616042,2746.231872680524,2746.4651736366186,2735.054081666622,2716.163997161974,2727.2387853047203,2732.4414084582286,2757.998681503026,2758.1033580129492,2773.5771518556003,2787.9912074690446,2812.286516652729,2831.694745850852,2843.381034258913,2854.747119296171,2861.4243556101915,2870.2079097128503,2855.1174813760813,2879.6638111635416,2881.049022122223,2921.413526290129,2944.3837345470997,2994.37498670581,3032.7586364639938,3050.460436400251,3072.2310725998577,3088.5745067827665,3111.7408564895813,3110.3740776307604,3124.6579219240007,3116.39202631387,3149.046617400882,3181.4484926359814,3249.0194324196455,3287.757914053773,3320.8771582098034,3338.9253575743123,3362.8153709097246,3394.0602077444382,3416.356532422887,3423.151478074237,3414.314754431619,3404.514357401667,3405.533241006859,3410.272441642942,3447.680612811498,3502.781672838516,3558.793543256377,3583.794521738335,3585.850044889503,3589.165257731895,3597.74034158673,3595.0136907339433,3572.449535612357,3556.856711409629,3575.1828840824737,3621.17643717453,3652.426141831735,3690.5454204234093,3697.1489478908306,3722.8293274666344,3736.9825966727917,3762.428651872393,3776.7342723781735,3753.9753290281997,3743.606436775945,3749.4266446100196,3792.2756458708604,3810.7815113496545,3802.7756880477477,3804.71784274057,3831.617282111827
753899,2,"Los Angeles, CA",msa,CA,2514.7729774964387,2527.457904854991,2546.9520211738763,2557.968754641464,2583.0210146188792,2600.5456657030345,2622.3789328480125,2633.0441153930383,2641.555571793621,2643.2476350914476,2638.798413095082,2645.222557232851,2658.6910542600617,2679.972153618478,2701.2545523706926,2716.058382745509,2743.6955304515377,2758.748700291062,2774.383180760811,2773.979524391216,2774.223025808376,2768.9785753713636,2763.9569210530663,2763.988831438421,2783.0247168141495,2808.662284271505,2839.9902023458058,2865.227770477767,2888.497845414124,2900.7054919656794,2910.4962805503224,2909.071168488345,2914.9899605827472,2911.0370812459573,2924.052830092841,2926.166550789842,2941.6558524043685,2952.1672006946656,2974.043858225241,2994.3622955699857,3010.124208356255,3025.1023945942447,3034.2488942768045,3037.9595119026644,3041.5802668375777,3044.7442074381875,3062.7675883073452,3067.1841279431296,3080.6543271465935,3080.2083097616974,3106.8762168409808,3119.2397112299295,3146.995344860527,3155.18062554749,3164.7952095695505,3161.0985607663542,3160.38559426927,3164.0574356976967,3169.550948556948,3176.817750307336,3190.6233003088114,3205.7706457341787,3210.416443960469,3194.547772784659,3195.240677636344,3210.1018698897337,3247.038104901686,3257.9853474111856,3272.072812081807,3279.2831756824476,3301.471293693585,3313.1132932497835,3338.567037131323,3360.892636045942,3399.7886093688626,3419.5041401228796,3449.685713242841,3474.7749799856656,3508.6873724678167,3551.710401990802,3589.501351826909,3621.102462545801,3641.1486208644014,3667.7815890944553,3700.652638355684,3745.0401471816754,3792.044296369367,3835.2266482819387,3870.3546258883052,3895.74654649577,3920.43404458779,3929.9573554178737,3933.65119451227,3940.6845794275105,3945.011332522127,3949.901934068714,3954.816116336578,3966.716701647078,3990.020268097204,4019.254035455583,4040.6508600197753,4070.325807523232,4088.3011676407405,4113.606484636509,4106.902278913517,4103.626747869583,4102.413892201004,4113.517120731437,4137.745077797096,4152.901314866811,4176.171106638224,4190.45819934033,4211.0356403163405,4227.798094623823,4249.18349955579,4254.523830148113,4258.649513675655,4251.343693435415,4255.182708477781,4262.0492912917925,4343.563662004869,4411.542778925555,4469.4628967620165,4451.063676210154
394463,3,"Chicago, IL",msa,IL,1528.6058715007503,1535.6850260843585,1545.7786208433934,1558.8874719358134,1570.9574274335507,1580.5223701861044,1582.271302103196,1582.517160285817,1577.3478110390731,1568.2178123181682,1564.6767281145274,1568.284573511436,1575.8542664237293,1582.4969174920004,1593.382535748877,1603.4666915632465,1612.060984361218,1616.1414665672246,1622.7294115044651,1627.9284600296867,1623.3953109420988,1614.967676906005,1605.4714931568185,1599.6434271890137,1606.7142622487054,1615.252334021911,1632.4843052387469,1646.2953310918383,1661.4650604344629,1667.0234504531209,1668.6782399830038,1665.4584102968531,1662.3071147922083,1651.7230025601832,1648.3487637827623,1645.166310970873,1651.8725165647481,1659.8535824399999,1673.8698208088447,1689.3186779383047,1698.2136393663172,1704.7957868532778,1705.7910754258328,1705.9444858662569,1704.4807957653754,1699.751460086287,1695.5035926001558,1690.392030431414,1698.4344137936027,1704.5054606085791,1719.606529669487,1729.7154345702959,1742.4694882361953,1751.0531053832729,1754.7199494394563,1753.6770492738774,1750.1863123155113,1746.7847319323364,1743.0271190979508,1740.213280541488,1743.563815993161,1755.7973334601568,1769.870737980544,1777.7432064949007,1782.5035413236583,1789.251525746439,1797.132222644857,1805.2827101998623,1802.4599551691254,1798.7376716128877,1794.21624004992,1800.6448655947004,1814.3265150219415,1833.1375199016563,1847.7862246305924,1864.0838415426313,1880.706532956946,1903.7612541494345,1921.5293663950333,1938.407975493189,1954.886676433032,1963.7817206773911,1970.9832084289794,1977.170759328918,1986.4236370036292,1994.2397337119264,2012.9953882601362,2036.5176503066632,2066.526019052575,2085.7761684961692,2103.929172412502,2115.8733892373584,2119.4908147393758,2122.189152255399,2116.038995788969,2125.6568762853017,2134.9824640383135,2152.911101652201,2164.4000063087447,2185.401689877585,2206.4977001939537,2227.5912635233067,2239.3021695163047,2250.2799503046986,2259.8501819111825,2263.8453315708557,2266.968884297556,2276.368159649052,2285.202093474445,2299.1840094658432,2312.0037821766946,2340.836877747905,2362.4811340775354,2376.153540309802,2385.323843137803,2397.7108343291,2406.3091269131496,2412.464376750373,2414.784287812577,2427.195941464562,2436.3563153406158,2462.3609115189456,2474.91793965585,2493.315369983234
394514,4,"Dallas, TX",msa,TX,1379.7585553405268,1388.1202655407628,1398.3749672282229,1412.270973132355,1425.050345231796,1436.6539900624932,1444.9664140402028,1448.288213493763,1448.6065922421221,1448.6682376578149,1448.8209994607946,1450.8353395855431,1453.1978217950414,1462.170084209053,1473.1672046437106,1485.38515170245,1496.4766885195418,1505.4416036646905,1513.0253552801646,1515.5550014310122,1515.291650915224,1512.0834939641031,1509.0757790064217,1508.2263622806347,1515.6817180009316,1526.0774633659837,1541.4532273631974,1554.7482762288025,1568.3384680086426,1575.826840168274,1580.6923961278655,1583.1215174723245,1583.019366895985,1582.494330716547,1581.7837620797463,1585.6100280039382,1591.0153669565998,1598.8038114697542,1605.685408587879,1617.1824565019103,1625.3208401519025,1635.6287337272151,1636.4659744562127,1640.0653459046048,1640.2283538749898,1641.08144879661,1638.2912979849202,1639.505704998769,1645.2988336686028,1652.7229237625586,1662.652267381415,1673.6923625875218,1687.2385494685525,1693.77851374493,1695.8631606717136,1695.9323635892893,1695.7372398143414,1697.5455319834793,1699.3229421764877,1697.8054128835174,1701.0106936983336,1706.148596367807,1717.7434314579066,1721.6241135035345,1728.085816642799,1736.8062892610599,1749.337310949601,1759.7684486642104,1768.724983363212,1779.2616413392636,1789.685875811359,1799.2839025179112,1812.6091662694996,1826.6713279287505,1844.50649235285,1865.2855464044112,1894.1021531221304,1924.4882660073579,1953.1191326477092,1977.5288831077355,2000.552903181364,2021.5171929143435,2034.6292472405225,2042.4089351584375,2052.2304501096733,2069.888783401774,2092.0313224697616,2115.5809506644546,2138.5802741317716,2165.500158236019,2184.088687282387,2195.1850394623643,2197.9372477755824,2201.93153549352,2205.4319463510947,2207.98055200239,2210.105637520331,2215.097307258467,2226.706208173419,2237.1651157732663,2251.4689878171666,2265.0266940071256,2278.1248768814908,2284.73947555891,2282.679315123294,2274.6835177763965,2273.618504411436,2272.613536765396,2280.7853188551035,2287.6714385311175,2304.613653046234,2316.878186791557,2324.5918267059938,2332.5303209657413,2338.8601997563524,2343.225536805544,2341.301871820819,2335.9563982075692,2329.3721434458357,2322.433187130422,2325.6658122590306,2338.2328420084054,2352.3831166251366,2362.3610163612707
394692,5,"Houston, TX",msa,TX,1512.3151106320336,1518.0754338754339,1526.1353565339598,1536.9187122588658,1548.4509934463977,1558.825366465103,1561.3358657893407,1561.4804432881438,1556.8107189976836,1552.6416411932253,1548.7822863212423,1543.9347059023771,1545.3087471029182,1545.876717274015,1551.75114412139,1554.3012674237427,1558.399005128384,1562.5388742542457,1562.5262433008388,1560.2428344355235,1552.688139848082,1545.4684045713702,1536.643608236939,1531.202433590444,1534.148441042689,1544.597444052574,1557.3348569950215,1566.144475499108,1573.322463207789,1577.969310091628,1579.798781867584,1578.8683412200526,1585.5075708247546,1592.1422006284408,1597.5155699568595,1596.7857801229281,1600.9530020615673,1606.8572597106568,1613.185947598527,1617.5866281029037,1623.7007641363928,1630.530605535165,1630.1618253980232,1629.7858546346688,1626.338647195647,1625.2029547435004,1620.5643848732702,1619.0995377492834,1621.4162496858848,1628.7752956000375,1638.2957184833872,1650.0288035667559,1660.0810109527072,1666.1049846344977,1667.200307494869,1664.7690238706898,1663.6962870946604,1662.9144257943758,1662.8474574675965,1662.6447733661732,1666.2989744921927,1671.9358247674509,1679.9526349466373,1680.6546829508893,1684.8376842158514,1687.8139042002415,1699.6789485704837,1710.3566168704303,1719.6015397343288,1726.4010652256666,1729.90813405104,1737.0909883067905,1750.354368582011,1764.4125811977522,1777.4939778830094,1790.518784058945,1811.433162099243,1833.1651968763522,1845.673198933331,1858.8993805665723,1868.1094917025252,1886.1678008264905,1892.883086708592,1903.350480744894,1910.915442663813,1925.6616399322236,1935.7568359666004,1948.5577671498274,1960.946729258196,1982.2739609624869,1996.4321515905337,2008.0347955456816,2009.6620148849634,2015.108813123623,2010.6120444667192,2012.2424737163453,2012.8556534758768,2024.3469135761295,2035.5238693387003,2046.071926230592,2058.3525191887074,2072.0097362217607,2085.827328584252,2092.779300003212,2093.154228379947,2089.42339495542,2087.2522699191604,2087.7825312508444,2092.5382333053913,2102.246021778926,2111.296113129794,2122.325600223721,2130.9790121499445,2141.7793496141016,2149.1931616634315,2155.784660094153,2157.4942985272264,2156.038036798575,2155.4997493544847,2157.4853462493784,2160.1926839267226,2164.9005368399503,2174.0362864229937,2183.6034517924963
395209,6,"Washington, DC",msa,VA,2081.3706927547178,2097.784672825479,2114.508214917527,2125.8210830836556,2133.7443555990058,2142.928116760409,2147.67426473685,2144.302633079136,2143.2195031796514,2134.41263538815,2134.1230831432567,2127.855046163145,2135.5496193311496,2143.168094646724,2155.5329520060423,2162.945284243038,2174.5075586148027,2181.8685550018163,2190.61415366453,2192.4850905670096,2185.207435181008,2178.3009602587285,2168.8073123884265,2166.809710610508,2172.4874744217377,2186.526266293623,2206.5014983258084,2221.6645555991804,2232.3943230991003,2240.18134760957,2244.065000044584,2242.161450583103,2239.6902407874854,2231.3785838681697,2227.9711936357035,2228.9816026801886,2234.3302226259284,2244.187943841566,2257.0352283489783,2274.115988080807,2286.5594111508735,2294.1074701337384,2297.731089351664,2300.0664051846443,2294.6402055622875,2287.7139974207553,2288.291088077213,2289.3410507507247,2294.0926725290137,2301.6896956427145,2320.683450434167,2339.8447508602776,2352.999768193844,2360.735494873979,2362.792566743751,2364.3886168557765,2365.17568653283,2362.0329157333867,2356.6636339075244,2347.525742908027,2355.6422797792247,2365.6572027688985,2388.5509209884626,2399.8101621523597,2412.18954712733,2416.8924762564047,2424.997936410421,2434.420198834878,2441.395009725417,2439.3666675775835,2437.1425148959156,2435.980080119749,2450.405403233359,2458.820450568494,2479.3162438889863,2499.962470631706,2531.6843592863975,2554.525892663786,2573.5200296494104,2589.164595625589,2601.8512357853583,2615.4176408001185,2620.980338792682,2623.970532797469,2630.4246109378814,2650.177183691305,2677.6103433222747,2711.0694033683367,2735.0464632383105,2759.0923667818033,2773.2795938274357,2783.8356587057074,2790.632074357487,2790.58243721248,2793.601349789486,2801.0218066019333,2808.6523798523904,2821.194536792793,2832.654483876587,2852.9011976803395,2876.3694603439753,2901.3046543648306,2923.814048951826,2938.450123185527,2944.619960534996,2946.5289255802722,2950.717573956726,2949.363983075577,2954.435752726145,2963.375892571221,2989.0152071115417,3017.843265061664,3039.510026314815,3067.8688049811244,3084.5207787524214,3099.645418758575,3092.0850275573353,3083.4905953891434,3088.9393984620547,3083.6002998613303,3100.110627049253,3117.093513271412,3155.8903199872434,3169.4298608659105
394974,7,"Philadelphia, PA",msa,PA,1347.3760987093726,1356.4190801499583,1368.7212219483647,1376.5337455212332,1381.052916173187,1383.8443659183195,1387.3796581789536,1388.0712180615635,1389.2858651944161,1389.4731709069215,1384.3795048092045,1383.463320614199,1384.4241589120222,1393.5357460816297,1402.461955651085,1411.9136353000495,1419.1987951582623,1426.4049423188787,1428.3071903089922,1428.832387142656,1424.9099506833136,1422.5843964098437,1425.569694738151,1428.2936399745283,1435.0452266781974,1441.5736291648857,1453.945237602308,1462.6709873622751,1468.829692633784,1468.3994694497217,1470.0266147907646,1472.4593473559426,1475.6765153580716,1477.982783554296,1478.560356725928,1480.6547807051754,1481.045919635044,1487.6377228940796,1500.4308183555659,1513.5011823884536,1524.0519541348162,1527.1089313705195,1526.4187295883064,1523.63745419377,1525.591244502441,1530.551780006739,1535.5107699222094,1535.1318193209024,1539.0432590425328,1546.4553696707626,1558.0045179211581,1568.6522528100518,1577.1169140910351,1584.267743621696,1586.8454872529505,1586.3266552828893,1586.5152677870021,1590.4897303940943,1593.114662386861,1597.6485550955074,1600.7806040707399,1610.274208521602,1619.6175026104588,1624.8629469385414,1630.3177744277627,1635.199210791417,1648.3084938926243,1656.9256342191636,1668.0132084630657,1672.3154731995296,1679.6900576703792,1685.9768734457948,1698.1434587982628,1712.9680065272273,1722.2640386041692,1738.2044145140515,1752.8313897852045,1769.995242457735,1783.272224822408,1798.0899827490043,1800.6380956707342,1813.6752254498701,1826.6882239590152,1852.1894097242027,1866.0312495024136,1876.1274895246327,1889.384318380891,1901.2853422180604,1914.5865619418075,1931.1493544396355,1946.295012790703,1960.5769228765503,1966.6016593484928,1969.797090818314,1974.6049040102407,1975.196372548017,1981.9096046766135,1991.4002906381288,2005.8237180608114,2018.1221402239244,2025.1191380124887,2033.4640071931167,2040.990301982083,2049.4405856357707,2064.413451743691,2082.8658505576564,2096.310253018251,2094.668389757226,2097.9908140062257,2105.212114295913,2121.0662618840506,2128.0827013186636,2138.275199973731,2142.4515567955314,2150.1780144566073,2157.6014412951304,2172.4590221943345,2188.030529273602,2205.092550847721,2218.360119443535,2220.189893020088,2224.4034802490464,2219.195197346897,2224.3828144005583
394856,8,"Miami, FL",msa,FL,1767.016061235384,1771.5880801119451,1783.4437431943772,1794.3054018523096,1802.80033603208,1809.5522562390938,1821.3132131822993,1830.9340946319385,1844.9250776107237,1852.0129279394039,1865.3268588423691,1869.1005508105488,1878.0444147500625,1874.499390928237,1879.4331365704022,1878.7333575821808,1888.661687872775,1888.9910062566705,1895.9659742669216,1898.5013484796325,1908.1642251862152,1912.5449146887465,1920.6694066013854,1918.3360714883183,1922.4644014221983,1930.2266086991401,1944.1637540466334,1951.5084558251492,1953.0119396335351,1959.5152120331438,1969.3947527109658,1980.8995359037674,1987.3644186845916,1994.5855326218004,1996.168535317376,2000.2770169653438,2002.2613958274183,2009.9525522693036,2017.1882518032698,2026.3570814225131,2032.5504371199763,2036.2695253794682,2042.5771400001158,2050.7787981736633,2060.2275224565697,2067.4893431278556,2074.1731304171576,2074.990971232143,2074.815031305291,2076.5622234803886,2089.1127108605556,2097.7252887467203,2104.2646700775977,2110.1287285837698,2115.4057661747397,2121.5096398987703,2129.325886743276,2142.93472214859,2156.5483954438764,2162.491063390349,2160.943837934501,2167.309912149644,2167.140925914585,2170.3767109812597,2168.3346862873586,2183.464898377215,2203.060637892121,2221.0815148269403,2243.550290998591,2280.7251289457713,2317.2428056596814,2343.553749721555,2349.9970164793135,2365.3017164055077,2374.9106057965973,2403.124830240624,2440.3130054051603,2501.0726819358256,2569.712503009526,2630.533792795937,2701.1688505469674,2749.579618637583,2817.912516775158,2865.9194606130072,2926.1255229039552,2964.984849140494,3010.6661014795386,3064.7190324071294,3127.1772960579888,3184.9977147549207,3220.7805369081934,3248.172299781434,3252.0549767598836,3264.366183916643,3268.6369631463676,3273.641036105442,3264.6164264771583,3256.473480933788,3261.6022627605635,3280.347879973253,3303.0313835710144,3333.4706415989344,3346.048144607284,3361.2714153189186,3371.771526211785,3391.1761736463477,3397.810242161055,3381.9954232602045,3374.0416187905053,3377.583406521345,3403.0519025848043,3420.515853692075,3433.683948061697,3438.444117549071,3455.7391906351572,3470.1029414017453,3481.7178074479075,3475.471485801655,3481.8384859185508,3483.7796063557557,3485.9405425344416,3486.018609175087,3500.48666270808,3515.0881283658923
394347,9,"Atlanta, GA",msa,GA,1115.432785375574,1121.8835606735263,1124.30067533669,1133.9857348208486,1142.1208407704767,1154.9870141817023,1161.8043917494597,1164.6754054514772,1164.2887366089712,1164.1607251011992,1163.550192910796,1167.007020262439,1172.8582300472099,1182.662754384832,1189.7932858682182,1197.4578955965462,1205.5485467229996,1215.6627733487185,1223.9214617667806,1228.4271502546335,1227.569315541416,1227.1557770573338,1226.5945912311454,1229.2306693097275,1234.1835153395823,1243.3326460983264,1256.1488611042414,1268.8203871981273,1281.300826885333,1291.5496189399332,1301.0547650215146,1304.3558836396305,1306.7370302003417,1302.5572249995491,1307.1637115790252,1308.4772646387603,1317.0232638637428,1322.4934799072153,1336.6979035708348,1348.9684254267966,1362.0380545501919,1368.334585594297,1373.1131202651711,1374.212727746627,1375.8305621719176,1380.1938357640838,1385.2514500827556,1390.3638427302697,1395.8651327001244,1404.1402266320108,1416.6272351561051,1429.641844541971,1440.5016388764911,1450.4270724970463,1455.904226398675,1459.579647783383,1461.1062905672395,1463.0889964136982,1465.5941311898655,1467.8174513838403,1473.5225926225387,1483.2647132861534,1496.1030031776816,1506.2804921517115,1517.3040752717932,1530.0207975606122,1545.9368607830083,1562.5245027704893,1577.7037866592848,1591.4514518140772,1602.7378975623224,1614.308474354349,1629.7536415555046,1651.0574635790695,1674.2484531879961,1701.3951102359376,1727.5467239437714,1757.2055030930653,1784.3936491067166,1816.631885114967,1841.5993394036248,1865.309984245568,1877.2135681642376,1884.5182607891916,1891.3738049695135,1902.1249549084066,1919.0498475786248,1933.412028780628,1951.8962862210403,1975.1218939388996,2002.0200268912013,2021.4361652811942,2031.478944248037,2035.3338143657982,2034.9643890594598,2043.9134980157223,2044.16715991086,2051.584698958286,2056.2946002239783,2065.9228436062376,2073.4412705941772,2078.334297633868,2087.563800907689,2095.2900544200716,2098.239578885846,2090.2634568761528,2080.2784581432416,2079.685759829774,2097.0659771031364,2119.421116097414,2135.1724803667817,2141.730533765438,2145.5391321423303,2159.8521931009523,2172.4033975589546,2185.0618372196673,2184.7960319062413,2184.600548728033,2180.8650946892317,2184.974198148829,2191.750467787644,2208.6899623642958,2217.1755253036904,2228.058053545672
